% Model:              phononic_alp0(thickness200,r85,isotrope,full_FBZ).mph
% Version:            COMSOL 6.2.0.290
% Date:               Jul 3 2024, 18:46
% Dimension:          1
% Nodes:              14641
% Expressions:        8
% Description:        Global
% X component of wave number (1/m),Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency
-1.5707963267948963E7,4.481025427550614E9,6.283605497762534E9,8.824177044231152E9,9.273897793987823E9,1.13186961552279E10,1.1502375131223618E10,1.314791180682641E10,1.7080868971959053E10
-1.5707963267948963E7,4.416799921218116E9,6.28474046607993E9,8.865226059080257E9,9.272551884665676E9,1.1288937052836094E10,1.1479759261763111E10,1.3160270314494743E10,1.7076114820402807E10
-1.5707963267948963E7,4.370305968446103E9,6.285679104134685E9,8.895225599096762E9,9.271592116202E9,1.126701138916939E10,1.146344894929044E10,1.3169142376752726E10,1.7072716220136747E10
-1.5707963267948963E7,4.342154262897173E9,6.286294268267181E9,8.913514714607662E9,9.271016893520752E9,1.1253570462611702E10,1.1453599669665663E10,1.3174483610101381E10,1.7070675931624489E10
-1.5707963267948963E7,4.332726981095992E9,6.286508068265976E9,8.919661266990236E9,9.270825259052498E9,1.1249040617260813E10,1.1450305995290026E10,1.3176267038122458E10,1.7069995638652283E10
-1.5707963267948963E7,4.342154262897179E9,6.286294268267154E9,8.913514714607609E9,9.271016893520773E9,1.1253570462611702E10,1.1453599669665678E10,1.3174483610101322E10,1.7070675930930338E10
-1.5707963267948963E7,4.370305968446315E9,6.285679104134652E9,8.8952255990967E9,9.271592116202E9,1.126701138916927E10,1.146344894929056E10,1.3169142376752724E10,1.7072716224564026E10
-1.5707963267948963E7,4.416799921218405E9,6.284740466079895E9,8.865226059080183E9,9.272551884665648E9,1.1288937052836098E10,1.1479759261763205E10,1.3160270314494745E10,1.7076114829069952E10
-1.5707963267948963E7,4.481025427550692E9,6.283605497762547E9,8.824177044231182E9,9.273897793987894E9,1.13186961552279E10,1.1502375131223623E10,1.314791180682644E10,1.7080868981821064E10
-1.5707963267948963E7,4.562178753180983E9,6.282446759464917E9,8.772896457614805E9,9.27563207542432E9,1.1355484292243227E10,1.1531083230725485E10,1.3132127807721684E10,1.7086974837309105E10
-1.5707963267948963E7,4.659305935634547E9,6.281477182111422E9,8.712284639781116E9,9.277757594516157E9,1.1398418457821993E10,1.1565616347008276E10,1.311299472614763E10,1.7094427472740505E10
-1.5707963267948963E7,4.771348022208083E9,6.280944093056608E9,8.643259942807516E9,9.28027784859314E9,1.1446601455283789E10,1.1605657994413185E10,1.3090603081737892E10,1.7103220906755302E10
-1.5707963267948963E7,4.897184428219145E9,6.28112262027688E9,8.5667108781872E9,9.283196963626707E9,1.1499169733105915E10,1.1650847394901958E10,1.3065055988599092E10,1.7113348129073431E10
-1.5707963267948963E7,5.035671275680318E9,6.282308779917438E9,8.483465674339756E9,9.286519690374228E9,1.1555323810298912E10,1.170078454934773E10,1.3036467526998953E10,1.712480113175118E10
-1.5707963267948963E7,5.18567291264642E9,6.284812527763015E9,8.39427660948068E9,9.290251399743029E9,1.1614343926766684E10,1.1755035156846449E10,1.3004961061496706E10,1.7137570942226242E10
-1.5707963267948963E7,5.346086021043117E9,6.288951014939606E9,8.299815183789562E9,9.294398077292255E9,1.1675594856024221E10,1.1813135186987835E10,1.2970667559547445E10,1.7151647666735987E10
-1.5707963267948963E7,5.515856625285311E9,6.2950422394146595E9,8.200674318707289E9,9.298966316773636E9,1.173852369394547E10,1.1874594967448673E10,1.2933723957566195E10,1.7167020535908577E10
-1.5707963267948963E7,5.693990873355149E9,6.3033992342923E9,8.097374543583744E9,9.303963312599648E9,1.1802653665041206E10,1.1938902709311918E10,1.289427161281695E10,1.718367791575171E10
-1.5707963267948963E7,5.879560719523635E9,6.314324886564032E9,7.990372030678081E9,9.309396851110338E9,1.1867576087188171E10,1.2005527450107803E10,1.2852454870192577E10,1.7201607352021076E10
-1.5707963267948963E7,6.071705674895051E9,6.328107439069747E9,7.880067116049046E9,9.315275300492025E9,1.1932941859420033E10,1.207392144650615E10,1.2808419763760132E10,1.7220795356571213E10
-1.5707963267948963E7,6.269631692952652E9,6.34501669536482E9,7.766812520305892E9,9.321607599181541E9,1.1998453261186678E10,1.2143522093384151E10,1.276231286447091E10,1.724122849343618E10
-1.5707963267948963E7,6.365300922025871E9,6.4726080914293165E9,7.650920871257525E9,9.32840324256545E9,1.2063856463654457E10,1.2213753483438164E10,1.2714280278068562E10,1.7262891970627247E10
-1.5707963267948963E7,6.389184424776444E9,6.679963227194031E9,7.532671372356292E9,9.335672267761644E9,1.2128934912013746E10,1.2284027752131046E10,1.2664466791211226E10,1.728577057641575E10
-1.5707963267948963E7,6.41686576235495E9,6.891079466207292E9,7.412315600731314E9,9.343425236235247E9,1.2193503598105131E10,1.2353746377249678E10,1.2613015159197533E10,1.7309848515727066E10
-1.5707963267948963E7,6.448516553852253E9,7.105387840075014E9,7.290082492488649E9,9.351673213973255E9,1.2257404169096481E10,1.2422301620982487E10,1.2560065525403694E10,1.7335109450208805E10
-1.5707963267948963E7,6.484280830035173E9,7.166182605813898E9,7.322362659646333E9,9.360427748896528E9,1.232050078468988E10,1.2489078314411861E10,1.2505754960819242E10,1.7361536484367393E10
-1.5707963267948963E7,6.52427487595061E9,7.04081176607996E9,7.541516258781989E9,9.369700845143633E9,1.2382676625334631E10,1.245021710759977E10,1.2553456192210278E10,1.7389112401494904E10
-1.5707963267948963E7,6.568587510177204E9,6.914154185940127E9,7.762393980759968E9,9.37950493380329E9,1.2393581923309021E10,1.2443830956390278E10,1.2614812966272497E10,1.7417819432841953E10
-1.5707963267948963E7,6.617280745053692E9,6.786385159652556E9,7.984569455415548E9,9.38985283960354E9,1.2335975494999962E10,1.2503876661663073E10,1.2672528334668587E10,1.744763929136574E10
-1.5707963267948963E7,6.657673405630153E9,6.670390771887642E9,8.207640195401098E9,9.400757742980392E9,1.2277519930211544E10,1.2562738170508566E10,1.2725989046325945E10,1.747855342795508E10
-1.5707963267948963E7,6.528183129999582E9,6.7279292155015745E9,8.431223507540926E9,9.412233136850016E9,1.2218333301494928E10,1.2620349713730742E10,1.277459511223806E10,1.75105428408744E10
-1.5707963267948963E7,6.3980758701232395E9,6.789884603540913E9,8.654952704748375E9,9.4242927772753E9,1.2158529639297556E10,1.2676653853803839E10,1.2817767151043379E10,1.7543588128372765E10
-1.5707963267948963E7,6.267512168871547E9,6.856223997814465E9,8.878473595072985E9,9.436950627060093E9,1.2098218964171247E10,1.273160024405389E10,1.2854954752294876E10,1.757766947725903E10
-1.5707963267948963E7,6.136653122688893E9,6.926894737582751E9,9.101441220745474E9,9.450220791099318E9,1.2037507351476603E10,1.27851445792677E10,1.288564561222615E10,1.7612766644875664E10
-1.5707963267948963E7,6.005661839920439E9,7.00182624812806E9,9.323516819455772E9,9.46411744205548E9,1.1976497023196512E10,1.2837247706771612E10,1.290937506300117E10,1.764885893049697E10
-1.5707963267948963E7,5.874704840268973E9,7.080931872058528E9,9.478654734592861E9,9.54436498167688E9,1.1915286462904993E10,1.2887874872479967E10,1.2925735494243511E10,1.768592512895243E10
-1.5707963267948963E7,5.743953421411912E9,7.164110685466408E9,9.493846705970852E9,9.763650981086094E9,1.1853970551384455E10,1.2934385076769499E10,1.2936995080898369E10,1.7723943505808445E10
-1.5707963267948963E7,5.613585014479582E9,7.251249266118913E9,9.509707160223696E9,9.981038259674664E9,1.1792640721846123E10,1.2935055164516127E10,1.2984580551729322E10,1.7762891715111656E10
-1.5707963267948963E7,5.483784546031092E9,7.342223386104496E9,9.52624953240227E9,1.0196186054814495E10,1.1731385135251625E10,1.2927555787855669E10,1.3030606258705006E10,1.7802746697329403E10
-1.5707963267948963E7,5.354745820086495E9,7.436899606598618E9,9.543486728348848E9,1.0408747162304073E10,1.167028887792256E10,1.2911778765126352E10,1.3075049538691093E10,1.78434846556797E10
-1.5707963267948963E7,5.226672929372781E9,7.53513675746959E9,9.561430934123135E9,1.0618365837271912E10,1.1609434185559607E10,1.2887698140199455E10,1.3117889761057827E10,1.788508089398101E10
-1.5707963267948963E7,5.099781699914589E9,7.636787289158366E9,9.580093387363527E9,1.0824675843818403E10,1.1548900700129738E10,1.285536787888905E10,1.3159108048907661E10,1.7927509815124527E10
-1.5707963267948963E7,4.974301167034969E9,7.741698488523056E9,9.59948410035117E9,1.1027298674478878E10,1.1488765769011745E10,1.2814916992667484E10,1.3198687045029001E10,1.7970744588164326E10
-1.5707963267948963E7,4.85047507333973E9,7.849713554044642E9,9.619611521061008E9,1.1225841971974564E10,1.1429104799625282E10,1.2766542468709736E10,1.3236610716498095E10,1.8014757168207584E10
-1.5707963267948963E7,4.728563369871082E9,7.960672528897849E9,9.640482113608978E9,1.1369991687932343E10,1.1419898198134314E10,1.2710500540806318E10,1.32728641927013E10,1.805951829520144E10
-1.5707963267948963E7,4.6088436898503275E9,8.074413092875268E9,9.662099832610365E9,1.1311499346331278E10,1.160904360800807E10,1.2647096918518887E10,1.3307433632255E10,1.810499678946934E10
